Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;10;315;0.088810;0.088810
uniform_1_100;10;320;0.088810;0.088810
uniform_1_100;10;325;0.088810;0.088810
uniform_1_100;10;330;0.088810;0.088810
uniform_1_100;10;335;0.088810;0.088810
uniform_1_100;10;340;0.088810;0.088810
uniform_1_100;10;345;0.088810;0.088810
uniform_1_100;10;350;0.088810;0.088810
uniform_1_100;10;355;0.088810;0.088810
uniform_1_100;10;360;0.088810;0.088810
uniform_1_100;10;365;0.088810;0.088810
uniform_1_100;10;370;0.088810;0.088810
uniform_1_100;10;375;0.088810;0.088810
uniform_1_100;10;380;0.088810;0.088810
uniform_1_100;10;385;0.088810;0.088810
uniform_1_100;10;390;0.088810;0.088810
uniform_1_100;10;395;0.088810;0.088810
uniform_1_100;10;400;0.088810;0.088810
uniform_1_100;15;5;1.062500;0.240140
uniform_1_100;15;10;1.007000;0.231260
uniform_1_100;15;15;0.944500;0.221260
uniform_1_100;15;20;0.877250;0.210500
uniform_1_100;15;25;0.806000;0.199100
uniform_1_100;15;30;0.747250;0.189700
uniform_1_100;15;35;0.682750;0.179380
uniform_1_100;15;40;0.622500;0.169740
uniform_1_100;15;45;0.571750;0.161620
uniform_1_100;15;50;0.501500;0.150380
uniform_1_100;15;55;0.433500;0.139500
uniform_1_100;15;60;0.370500;0.129420
uniform_1_100;15;65;0.305500;0.119020
uniform_1_100;15;70;0.241250;0.108740
uniform_1_100;15;75;0.176500;0.098380
uniform_1_100;15;80;0.121000;0.089500
uniform_1_100;15;85;0.083500;0.083500
uniform_1_100;15;90;0.083500;0.083500
uniform_1_100;15;95;0.083500;0.083500
uniform_1_100;15;100;0.083500;0.083500
uniform_1_100;15;105;0.083500;0.083500
uniform_1_100;15;110;0.083500;0.083500
uniform_1_100;15;115;0.083500;0.083500
uniform_1_100;15;120;0.083500;0.083500
uniform_1_100;15;125;0.083500;0.083500
uniform_1_100;15;130;0.083500;0.083500
uniform_1_100;15;135;0.083500;0.083500
uniform_1_100;15;140;0.083500;0.083500
uniform_1_100;15;145;0.083500;0.083500
uniform_1_100;15;150;0.083500;0.083500
uniform_1_100;15;155;0.083500;0.083500
uniform_1_100;15;160;0.083500;0.083500
uniform_1_100;15;165;0.083500;0.083500
uniform_1_100;15;170;0.083500;0.083500
uniform_1_100;15;175;0.083500;0.083500
uniform_1_100;15;180;0.083500;0.083500
uniform_1_100;15;185;0.083500;0.083500
uniform_1_100;15;190;0.083500;0.083500
uniform_1_100;15;195;0.083500;0.083500
uniform_1_100;15;200;0.083500;0.083500
uniform_1_100;15;205;0.083500;0.083500
uniform_1_100;15;210;0.083500;0.083500
uniform_1_100;15;215;0.083500;0.083500
uniform_1_100;15;220;0.083500;0.083500
uniform_1_100;15;225;0.083500;0.083500
uniform_1_100;15;230;0.083500;0.083500
uniform_1_100;15;235;0.083500;0.083500
uniform_1_100;15;240;0.083500;0.083500
uniform_1_100;15;245;0.083500;0.083500
uniform_1_100;15;250;0.083500;0.083500
uniform_1_100;15;255;0.083500;0.083500
uniform_1_100;15;260;0.083500;0.083500
uniform_1_100;15;265;0.083500;0.083500
uniform_1_100;15;270;0.083500;0.083500
uniform_1_100;15;275;0.083500;0.083500
uniform_1_100;15;280;0.083500;0.083500
uniform_1_100;15;285;0.083500;0.083500
uniform_1_100;15;290;0.083500;0.083500
uniform_1_100;15;295;0.083500;0.083500
uniform_1_100;15;300;0.083500;0.083500
uniform_1_100;15;305;0.083500;0.083500
uniform_1_100;15;310;0.083500;0.083500
uniform_1_100;15;315;0.083500;0.083500
uniform_1_100;15;320;0.083500;0.083500
uniform_1_100;15;325;0.083500;0.083500
uniform_1_100;15;330;0.083500;0.083500
uniform_1_100;15;335;0.083500;0.083500
uniform_1_100;15;340;0.083500;0.083500
uniform_1_100;15;345;0.083500;0.083500
uniform_1_100;15;350;0.083500;0.083500
uniform_1_100;15;355;0.083500;0.083500
