Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_250_50;5;5;18.5
gaussian_250_50;5;10;18.4
gaussian_250_50;5;15;18.3
gaussian_250_50;5;20;18.1
gaussian_250_50;5;25;18.0
gaussian_250_50;5;30;17.9
gaussian_250_50;5;35;17.8
gaussian_250_50;5;40;17.6
gaussian_250_50;5;45;17.5
gaussian_250_50;5;50;17.4
gaussian_250_50;5;55;17.3
gaussian_250_50;5;60;17.1
gaussian_250_50;5;65;17.0
gaussian_250_50;5;70;16.9
gaussian_250_50;5;75;16.8
gaussian_250_50;5;80;16.6
gaussian_250_50;5;85;16.5
gaussian_250_50;5;90;16.4
gaussian_250_50;5;95;16.3
gaussian_250_50;5;100;16.1
gaussian_250_50;5;105;16.0
gaussian_250_50;5;110;15.9
gaussian_250_50;5;115;15.8
gaussian_250_50;5;120;15.6
gaussian_250_50;5;125;15.5
gaussian_250_50;5;130;15.4
gaussian_250_50;5;135;15.3
gaussian_250_50;5;140;15.1
gaussian_250_50;5;145;15.0
gaussian_250_50;5;150;14.9
gaussian_250_50;5;155;14.8
gaussian_250_50;5;160;14.6
gaussian_250_50;5;165;14.5
gaussian_250_50;5;170;14.4
gaussian_250_50;5;175;14.3
gaussian_250_50;5;180;14.2
gaussian_250_50;5;185;14.2
gaussian_250_50;5;190;14.2
gaussian_250_50;5;195;14.3
gaussian_250_50;5;200;14.5
gaussian_250_50;5;205;14.8
gaussian_250_50;5;210;15.3
gaussian_250_50;5;215;15.9
gaussian_250_50;5;220;16.8
gaussian_250_50;5;225;17.8
gaussian_250_50;5;230;19.2
gaussian_250_50;5;235;20.5
gaussian_250_50;5;240;22.1
gaussian_250_50;5;245;23.5
gaussian_250_50;5;250;25.0
gaussian_250_50;5;255;26.6
gaussian_250_50;5;260;27.9
gaussian_250_50;5;265;29.0
gaussian_250_50;5;270;30.0
gaussian_250_50;5;275;30.9
gaussian_250_50;5;280;31.4
gaussian_250_50;5;285;31.9
gaussian_250_50;5;290;32.3
gaussian_250_50;5;295;32.5
gaussian_250_50;5;300;32.7
gaussian_250_50;5;305;32.7
gaussian_250_50;5;310;32.8
gaussian_250_50;5;315;32.8
gaussian_250_50;5;320;32.8
gaussian_250_50;5;325;32.8
gaussian_250_50;5;330;32.8
gaussian_250_50;5;335;32.8
gaussian_250_50;5;340;32.8
gaussian_250_50;5;345;32.8
gaussian_250_50;5;350;32.8
gaussian_250_50;5;355;32.8
gaussian_250_50;5;360;32.8
gaussian_250_50;5;365;32.8
gaussian_250_50;5;370;32.8
gaussian_250_50;5;375;32.8
gaussian_250_50;5;380;32.8
gaussian_250_50;5;385;32.8
gaussian_250_50;5;390;32.8
gaussian_250_50;5;395;32.8
gaussian_250_50;5;400;32.8
gaussian_250_50;10;5;17.5
gaussian_250_50;10;10;17.4
gaussian_250_50;10;15;17.3
gaussian_250_50;10;20;17.1
gaussian_250_50;10;25;17.0
gaussian_250_50;10;30;16.9
gaussian_250_50;10;35;16.8
gaussian_250_50;10;40;16.6
gaussian_250_50;10;45;16.5
gaussian_250_50;10;50;16.4
gaussian_250_50;10;55;16.3
gaussian_250_50;10;60;16.1
gaussian_250_50;10;65;16.0
gaussian_250_50;10;70;15.9
gaussian_250_50;10;75;15.8
gaussian_250_50;10;80;15.6
gaussian_250_50;10;85;15.5
gaussian_250_50;10;90;15.4
gaussian_250_50;10;95;15.3
gaussian_250_50;10;100;15.1
gaussian_250_50;10;105;15.0
gaussian_250_50;10;110;14.9
gaussian_250_50;10;115;14.8
gaussian_250_50;10;120;14.6
gaussian_250_50;10;125;14.5
