Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;15;380;6.5
trimodal;15;385;6.5
trimodal;15;390;6.5
trimodal;15;395;6.5
trimodal;15;400;6.5
trimodal;20;5;-20.5
trimodal;20;10;-20.5
trimodal;20;15;-20.1
trimodal;20;20;-19.2
trimodal;20;25;-17.8
trimodal;20;30;-15.9
trimodal;20;35;-14.4
trimodal;20;40;-13.3
trimodal;20;45;-12.7
trimodal;20;50;-12.5
trimodal;20;55;-12.5
trimodal;20;60;-12.3
trimodal;20;65;-11.8
trimodal;20;70;-10.8
trimodal;20;75;-9.4
trimodal;20;80;-7.4
trimodal;20;85;-5.8
trimodal;20;90;-4.8
trimodal;20;95;-4.2
trimodal;20;100;-4.0
trimodal;20;105;-3.8
trimodal;20;110;-3.5
trimodal;20;115;-3.0
trimodal;20;120;-2.1
trimodal;20;125;-0.6
trimodal;20;130;1.4
trimodal;20;135;2.9
trimodal;20;140;4.2
trimodal;20;145;4.8
trimodal;20;150;5.1
trimodal;20;155;5.2
trimodal;20;160;5.3
trimodal;20;165;5.3
trimodal;20;170;5.3
trimodal;20;175;5.3
trimodal;20;180;5.3
trimodal;20;185;5.3
trimodal;20;190;5.3
trimodal;20;195;5.3
trimodal;20;200;5.3
trimodal;20;205;5.3
trimodal;20;210;5.3
trimodal;20;215;5.3
trimodal;20;220;5.3
trimodal;20;225;5.3
trimodal;20;230;5.3
trimodal;20;235;5.3
trimodal;20;240;5.3
trimodal;20;245;5.3
trimodal;20;250;5.3
trimodal;20;255;5.3
trimodal;20;260;5.3
trimodal;20;265;5.3
trimodal;20;270;5.3
trimodal;20;275;5.3
trimodal;20;280;5.3
trimodal;20;285;5.3
trimodal;20;290;5.3
trimodal;20;295;5.3
trimodal;20;300;5.3
trimodal;20;305;5.3
trimodal;20;310;5.3
trimodal;20;315;5.3
trimodal;20;320;5.3
trimodal;20;325;5.3
trimodal;20;330;5.3
trimodal;20;335;5.3
trimodal;20;340;5.3
trimodal;20;345;5.3
trimodal;20;350;5.3
trimodal;20;355;5.3
trimodal;20;360;5.3
trimodal;20;365;5.3
trimodal;20;370;5.3
trimodal;20;375;5.3
trimodal;20;380;5.3
trimodal;20;385;5.3
trimodal;20;390;5.3
trimodal;20;395;5.3
trimodal;20;400;5.3
trimodal;25;5;-21.7
trimodal;25;10;-21.3
trimodal;25;15;-20.4
trimodal;25;20;-19.0
trimodal;25;25;-17.1
trimodal;25;30;-15.6
trimodal;25;35;-14.5
trimodal;25;40;-13.9
trimodal;25;45;-13.8
trimodal;25;50;-13.7
trimodal;25;55;-13.5
trimodal;25;60;-13.0
trimodal;25;65;-12.0
trimodal;25;70;-10.6
trimodal;25;75;-8.6
trimodal;25;80;-7.0
trimodal;25;85;-6.0
trimodal;25;90;-5.4
trimodal;25;95;-5.2
trimodal;25;100;-5.0
trimodal;25;105;-4.7
trimodal;25;110;-4.2
trimodal;25;115;-3.3
trimodal;25;120;-1.8
trimodal;25;125;0.1
trimodal;25;130;1.7
trimodal;25;135;3.0
trimodal;25;140;3.6
trimodal;25;145;3.9
trimodal;25;150;4.0
trimodal;25;155;4.1
trimodal;25;160;4.1
trimodal;25;165;4.1
trimodal;25;170;4.1
trimodal;25;175;4.1
trimodal;25;180;4.1
trimodal;25;185;4.1
trimodal;25;190;4.1
trimodal;25;195;4.1
trimodal;25;200;4.1
trimodal;25;205;4.1
trimodal;25;210;4.1
trimodal;25;215;4.1
trimodal;25;220;4.1
trimodal;25;225;4.1
trimodal;25;230;4.1
trimodal;25;235;4.1
trimodal;25;240;4.1
trimodal;25;245;4.1
trimodal;25;250;4.1
trimodal;25;255;4.1
trimodal;25;260;4.1
trimodal;25;265;4.1
trimodal;25;270;4.1
trimodal;25;275;4.1
trimodal;25;280;4.1
trimodal;25;285;4.1
trimodal;25;290;4.1
trimodal;25;295;4.1
trimodal;25;300;4.1
trimodal;25;305;4.1
trimodal;25;310;4.1
trimodal;25;315;4.1
trimodal;25;320;4.1
trimodal;25;325;4.1
trimodal;25;330;4.1
trimodal;25;335;4.1
trimodal;25;340;4.1
trimodal;25;345;4.1
trimodal;25;350;4.1
trimodal;25;355;4.1
trimodal;25;360;4.1
trimodal;25;365;4.1
trimodal;25;370;4.1
trimodal;25;375;4.1
trimodal;25;380;4.1
trimodal;25;385;4.1
trimodal;25;390;4.1
trimodal;25;395;4.1
trimodal;25;400;4.1
trimodal;30;5;-22.5
trimodal;30;10;-21.5
trimodal;30;15;-20.1
trimodal;30;20;-18.2
trimodal;30;25;-16.7
trimodal;30;30;-15.6
trimodal;30;35;-15.0
trimodal;30;40;-14.9
trimodal;30;45;-14.8
trimodal;30;50;-14.6
trimodal;30;55;-14.1
trimodal;30;60;-13.1
trimodal;30;65;-11.7
trimodal;30;70;-9.7
trimodal;30;75;-8.1
trimodal;30;80;-7.1
trimodal;30;85;-6.5
trimodal;30;90;-6.3
trimodal;30;95;-6.2
trimodal;30;100;-5.9
trimodal;30;105;-5.4
trimodal;30;110;-4.4
trimodal;30;115;-2.9
trimodal;30;120;-1.0
trimodal;30;125;0.6
trimodal;30;130;1.8
trimodal;30;135;2.5
trimodal;30;140;2.8
trimodal;30;145;2.9
trimodal;30;150;3.0
trimodal;30;155;3.0
trimodal;30;160;3.0
trimodal;30;165;3.0
trimodal;30;170;3.0
trimodal;30;175;3.0
trimodal;30;180;3.0
trimodal;30;185;3.0
